Course Name,Timestamp,Rating,Comment
Econometrics and Statistics for Business in R & Python,2020-03-06 23:13:43+00:00,5,"Fantastic course, from start to finish. Good pace and concepts clearly explained"
Econometrics and Statistics for Business in R & Python,2020-03-18 12:43:13+00:00,5,The course is really addressing real-world problems with current analytical tools which makes it easy to follow and to understand. Very good methodology !
Econometrics and Statistics for Business in R & Python,2020-03-18 21:11:52+00:00,5,Really good! I really enjoyed the new material!
Econometrics and Statistics for Business in R & Python,2020-03-20 11:24:32+00:00,5,"Wonderful course, excellent instructor, easily reachable, always ready to help students, he knows what he is doing, and with useful applications for the real life. Without doubt, one of the best instructors in Udemy
Antonio"
Econometrics and Statistics for Business in R & Python,2020-03-21 09:51:44+00:00,5,"Diogo is truly a remarkable teacher. The pace of the course has been spot-on so far. Coming from a background of some basic/average understanding I didn't feel like the intro section was too slow and I ended up following it to jog up my memory. The problem sets and case studies are well structured and relevant for obtaining the skillsets that I will use in my current job position.

Diogo has added quite a number of interesting real life usable cases to this course which I found highly helpful! Keep up the good work!"
Econometrics and Statistics for Business in R & Python,2020-03-22 22:18:18+00:00,5,"Buen curso, te ayuda a comprender las diferentes formas de hacer un análisis econométrico. Una buena opción para  comprender y aprender sobre el tema"
Econometrics and Statistics for Business in R & Python,2020-03-28 18:36:55+00:00,5,"I really like the easy going approach of this course and how, from the start of each section, I am can understand where I can apply what I am learning."
Econometrics and Statistics for Business in R & Python,2020-04-02 22:22:41+00:00,4.5,"Really applicable for progression in subject matter, still in the midst of course. Instructors effects shine in offer'n different paths."
Econometrics and Statistics for Business in R & Python,2020-04-03 08:54:47+00:00,5,"Course is suited to my expectations. I can see the relations of Econometrics methods explained in course with real business analysis. Also, detailed explanation of R-coding is huge advantage, allowing to kill two birds with one stone.
Thanks for the course!"
Econometrics and Statistics for Business in R & Python,2020-05-30 12:56:45+00:00,5,This is really one of the most useful courses about Econometrics that one can find on the web. Really good job Diogo!
Econometrics and Statistics for Business in R & Python,2020-06-11 08:19:35+00:00,5,"The intuition sets the tone and theoretical background and makes it easy to understand the application and steps. 
The videos are precise and straight to the point as an Economist I was able to grasp the coding aspect of econometrics."
Econometrics and Statistics for Business in R & Python,2020-06-14 06:58:07+00:00,5,"The course is amazing, and have practical examples. Some of these techniques can directly be plugged in real world scenarios. Have tried hard before to learn differences in difference technique, however I failed to learn from internet. Diogo definitely set the context right and helped developing intuition. I'm definitely going to use some of these techniques in my day to day work. Looking forward for more such courses."
Econometrics and Statistics for Business in R & Python,2020-06-27 05:09:22+00:00,5,"This course is simply the best econometrics course out there. Diogo knows what he is doing, real life case studies, no nonsense theories and complications. I highly recommend this course.
But including some math could've been great, maybe adding some formulas as papers in the next update will be GREAT. Thank you Diogo for the amazing course, waiting for more !"
XGBoost for Business: Machine Learning Course in Python & R,2020-07-05 15:25:48+00:00,5,Great walkthrough of XGBoost in Python.
Econometrics and Statistics for Business in R & Python,2020-07-07 21:27:51+00:00,4,"The course was good but a bit basic in the sense that a lot of the functions/methods used are not deeply explored so modifying them to different need might be hard.
Also, some of practical cases were not that interesting, like the chicken and egg. Usage of sources of free online data would be much better (like the stocks library). And it might worth considering giving exercise to be solved alone (with solutions).
Finally, I believe that the assumptions in the heart of the techniques should be stressed more, perhaps with an example of why the analysis is wrong if the assumption fails. Repeating some of the theoretical statements during the coding can help too.

Thanks for everything!"
Econometrics and Statistics for Business in R & Python,2020-07-10 16:00:56+00:00,4.5,Easy to understand and he will let you know what you need to learn if you want to go deeper.
XGBoost for Business: Machine Learning Course in Python & R,2020-07-15 01:20:24+00:00,5,"As usual Diogo makes complicated stuff simple, by usual i mean not only udemy courses but even youtube python and R tutorials. 
The sequence and division of the course is really amazing, made it easier to digest."
Econometrics and Statistics for Business in R & Python,2020-07-15 09:07:00+00:00,4,Really good and accessible for everyone!
XGBoost for Business: Machine Learning Course in Python & R,2020-07-18 16:18:37+00:00,5,This is the second course I take that Diogo created and I really like how he explains concepts. What I also think is great are the bite sized videos.
XGBoost for Business: Machine Learning Course in Python & R,2020-07-23 07:46:08+00:00,5,"This is my second course with Diogo and I must say that am more than happy to have taken it. As a data analyst that is slowly getting into the world of ML I really needed an introductory course and this did the job perfectly. Diogo is well structured and the course is very easy to follow and most importantly the practical part is something that is applicable to what I am currently working on and what my professional development will be. Highly recommended!
EDIT:
Have recently rewatched some of the videos to refresh my memory on the subject because of a project I am working on at work. Helped quite a bit!"
Econometrics and Statistics for Business in R & Python,2020-07-25 14:16:14+00:00,4,"It was. A nice course format, but need more details about causal inference models."
XGBoost for Business: Machine Learning Course in Python & R,2020-08-01 18:04:46+00:00,3.5,It shows a whole piple line of how to implement XGBoost. It was ok if you're a beginner :)
Econometrics and Statistics for Business in R & Python,2020-08-04 12:15:44+00:00,5,"great course, especially if you are not that good with R or python yet. If you are, you can easily skip the ""easy"" parts. Very practical & hands-on with good explanations of what is really important, without focusing much on the whole math behind the packages."
XGBoost for Business: Machine Learning Course in Python & R,2020-08-06 17:27:28+00:00,4,Thank for the course . Is short and clear . I would have expected a regression case also.
Econometrics and Statistics for Business in R & Python,2020-08-17 17:24:19+00:00,5,"Great start, brilliant that he includes R and Python into one course!"
XGBoost for Business: Machine Learning Course in Python & R,2020-08-25 10:56:23+00:00,4.5,Great.
Econometrics and Statistics for Business in R & Python,2020-09-01 02:11:21+00:00,5,Amazing Course!!!
Econometrics and Statistics for Business in R & Python,2020-09-29 04:43:49+00:00,4.5,Great.
XGBoost for Business: Machine Learning Course in Python & R,2020-10-05 11:52:49+00:00,5,"Amazing course - nice step by step guide for xgboost, not too much mathematical explanation, just the ones you need and easily explained. Very hands on. And I love that the videos are so short, in snack-size!"
Econometrics and Statistics for Business in R & Python,2020-10-09 15:49:32+00:00,5,"Wow, such a brilliant course! Beautiful content, real examples, and amazing feedback whenever I had questions! I especially loved the set up of putting each area into context with real life examples, then discussing the model process, then doing the coding. Very nice to follow! Each video was short and sweet - perfect for doing a bit here and there, without feeling daunting that you need to commit to spending an hour on the course at a time! Following the coding was very straightforward and easy, I really appreciated the repetition of ""this is how you install a package"" because it really reinforced my learning, and was always something I'd forget. 
The only things I feel could be improved, and I'm being very picky here, were the speed of some of the videos (although you can 'speed' them up!), and perhaps adding a bit more customisation to the output visualisations"
Econometrics and Statistics for Business in R & Python,2020-10-10 16:47:47+00:00,5,Great course. It's relatively easy to follow and full of practical examples.
Econometrics and Statistics for Business in R & Python,2020-10-19 21:44:21+00:00,5,"I have not seen another course like this. The focus is on solving problems, not the underlying mathematics.  Dogio talks through the details in small steps from concept to working code.  He covers a lot of ground but you can always use the code to drill down further.  This course is worth it for the CausalImpact example alone but it covers much more than just that.  Covering both R and Python is a good bonus too. I am looking forward to more courses like this."
Econometrics and Statistics for Business in R & Python,2020-10-22 13:08:52+00:00,5,Great course. Totally worth the money. The concepts are very well explained and the implementation of causal inference techniques covered in this course is really tough to find elsewhere on the internet.
Regression Analysis for Business Managers in Python and R,2020-10-24 14:54:04+00:00,5,"A really pleasant way to get up to speed quickly. Learning through watching and doing is certainly much better than reading a text book.  The examples are pitched from a business perspective and so are really motivating.  This course is clear, well delivered and relevant."
Regression Analysis for Business Managers in Python and R,2020-10-27 13:24:00+00:00,3,"very basic even for beginner ( R2 ?, MAE , RMSE )"
Regression Analysis for Business Managers in Python and R,2020-10-31 19:40:44+00:00,5,"Diogo thank you again for such a knowledge. i needed a refresh for linear regression with python and yet started by R. Yes you did a great job again ! 
Even having a Mathematical part will even make it helpful for students as well."
XGBoost for Business: Machine Learning Course in Python & R,2020-11-01 19:02:37+00:00,5,"This course is really great!
I was looking for a course that gives me deeper understanding in logistic regression based ML models. Unfortunately most of the courses on machine learning try to explain all models but rather on a high level. This course shows how to solve a problem end-to-end by going through the algorythm and some optimization iterations step by step.
Cross Validation and Hyperparameter Tuning are also two important parts of this course that made it so valuable for me.

Maybe tow points for improvement: Some important topics such as evaluation metrics, when to choose which one and how to optimize the model for the chosen one would make the course even more valuable. Also I would be very interested in understanding when it is time to retrain the model and whether you would then apply again hyperparameter tuning or not.

All in all: Great course that allows quick progress for beginners like me."
Regression Analysis for Business Managers in Python and R,2020-11-02 21:28:18+00:00,5,Halfway through. Fantastic course so far!
Econometrics and Statistics for Business in R & Python,2020-11-05 11:37:43+00:00,5,The way Diogo explained the difference between life expectancy between smokers and non smokers was very clear.
Regression Analysis for Business Managers in Python and R,2020-11-06 17:57:32+00:00,5,Diogo is a great teacher. Plain and simple. This is my second course with him and I can now say that I'm a big fan of his style. He is easy to follow and explains things in a very down to earth kind of way. I was intrigued by the potential findings that we could conclude on this subject and that's what was my main driver throughout the course. Keep up the good work!
Regression Analysis for Business Managers in Python and R,2020-11-11 19:11:48+00:00,5,Really amazing course with extremely relevant content! Loved the entire setup where you could directly apply the knowledege in a realistic setup. Highly recommended!
Econometrics and Statistics for Business in R & Python,2020-11-14 14:54:14+00:00,4.5,The pace is good. Ideal for students that are not yet that comfortable with the programming languages used.
Econometrics and Statistics for Business in R & Python,2020-12-12 16:38:10+00:00,5,So far the class is great for someone wanting to learn econometrics and how to apply it in R
Regression Analysis for Business Managers in Python and R,2020-12-13 21:14:48+00:00,5,It is really good. Well structured and easy to follow. Excellent course
